deixa-o	d#ei-xa§-o
viajante	vi-a-j#an-te
vai	v#ai
salteiam-no	sal-te-#i-am§-no
transições	tran-si-ç#ões
espelha-se	es-p#e-lha§-se
excessivo	e-xce-ss#i-vo
verão	ve-r#ão
acentua-se	a-cen-t#u-a§-se
crescem	cr#es-cem
máximas	m#á-xi-mas
mínimas	m#í-ni-mas
desnuda	des-n#u-da
tendo	t#en-do
contrapostas	con-tra-p#os-tas
insola-se	in-s#o-la§-se
enregela-se	en-re-g#e-la§-se
horas	h#o-ras
fere-a	f#e-re§-a
sol	s#ol
ela	#e-la
absorve-lhe	ab-s#or-ve§-lhe
raios	r#ai-os
multiplica-os	mul-ti-pl#i-ca§-os
noite	n#oi-te
crepúsculo	cre-p#ús-cu-lo
chofre	ch#o-fre
ocorrem	o-c#o-rrem
todavia	to-da-v#i-a
variantes	va-ri-#an-tes
cruéis	cru-#éis
propelidas	pro-pe-l#i-das
espessas	es-p#e-ssas
nuvens	n#u-vens
tufando	tu-f#an-do
desaparece	de-sa-pa-r#e-ce
coluna	co-l#u-na
mercurial	mer-cu-ri-#al
sobrevém	so-bre-v#ém
fogo	f#o-go
barômetro	ba-r#ô-me-tro
proximidades	pro-xi-mi-d#a-des
contraste	con-tr#as-te
explicável	ex-pli-c#á-vel
copiando	co-pi-#an-do
singular	sin-gu-l#ar
meses	m#e-ses
acentua	a-cen-t#u-a
agitações	a-gi-ta-ç#ões
imperceptíveis	im-per-cep-t#í-veis
exercem-se	e-x#er-cem§-se
correntes	co-rr#en-tes
ascensionais	as-cen-si-o-n#ais
observamos	ob-ser-v#a-mos
através	a-tra-v#és
rigorismo	ri-go-r#is-mo
percorrendo	per-co-rr#en-do
certa	c#er-ta
vez	v#ez
fins	f#ins
setembro	se-t#em-bro
pequenos	pe-qu#e-nos
arbustos	ar-b#us-tos
icozeiros	i-co-z#ei-ros
virentes	vi-r#en-tes
árvore	#ár-vo-re
única	#ú-ni-ca
poente	po-#en-te
desatava	de-sa-t#a-va
longa	l#on-ga
descansava	des-can-s#a-va
havia	ha-v#i-a
morrera	mo-rr#e-ra
assalto	a-ss#al-to
julho	j#u-lho
coronha	co-r#o-nha
mannlicher	man-nli-ch#er
estrondada	es-tron-d#a-da
caíra	ca-#í-ra
certo	c#er-to
derreando-se	de-rre-#an-do§-se
violenta	vi-o-l#en-ta
enterrar-se	en-te-rr#ar§-se
mortos	m#or-tos
compartira	com-par-t#i-ra
vala	v#a-la
destino	des-t#i-no
removera	re-mo-v#e-ra
lar	l#ar
desprotegido	des-pro-te-g#i-do
estava	es-t#a-va
intacto	in-t#ac-to
murchara	mur-ch#a-ra
mumificara	mu-mi-fi-c#a-ra
conservando	con-ser-v#an-do
fisionômicos	fi-si-o-n#ô-mi-cos
verme	v#er-me
vulgar	vul-g#ar
trágicos	tr#á-gi-cos
analistas	a-na-l#is-tas
turbilhão	tur-bi-lh#ão
vida	v#i-da
decomposição	de-com-po-si-ç#ão
era	#e-ra
aparelho	a-pa-r#e-lho
revelando	re-ve-l#an-do
cavalos	ca-v#a-los
dia	d#i-a
pescoço	pes-c#o-ço
alongado	a-lon-g#a-do
fino	f#i-no
acampamento	a-cam-pa-m#en-to
fora	f#o-ra
montada	mon-t#a-da
valente	va-l#en-te
alferes	al-f#e-res
wanderley	wan-d#er-le-y
abatera-se	a-ba-t#e-ra§-se
resvalar	res-va-l#ar
estrebuchando	es-tre-bu-ch#an-do
malferido	mal-fe-r#i-do
ficou	fi-c#ou
pé	p#é
patas	p#a-tas
dianteiras	di-an-t#ei-ras
estacou	es-ta-c#ou
animal	a-ni-m#al
quando	qu#an-do
lufadas	lu-f#a-das
súbitas	s#ú-bi-tas
longas	l#on-gas
calmarias	cal-ma-r#i-as
fenômenos	fe-n#ô-me-nos
prumo	pr#u-mo
